1756	factoid	When is Fashion week in NYC?	\bSept?(ember)?\b|\bFeb(ruary)?\b
1434	factoid	What site did Lindbergh begin his flight from in 1927?	\bLong Island\b|\bNew\s?York\b|\bRoosevelt Field\b
1790	factoid	What country is the holy city of Mecca located in?	\bSaudi Arabia\b
1992	factoid	How hot is the sun?	\b(5,?778|6,?[05]00)\s*K\b|\b(5,?505|6,?[50]00).*C\b|\b(9,?941|10,?000).*F\b|\b5778\.0\b
2128	factoid	What flavor filling did the original Twinkies have?	\bbanana\b
1840	factoid	What is the state song of Kansas?	\bHome on the Range\b
1689	factoid	What war is connected with the book "Charge of the Light Brigade"?	\bCrimean\b
10040	factoid	Where was the first atomic bomb detonated?	\bWhite Sands\b|\bNew Mexico\b
1647	factoid	What continent is Scotland in?	\bEurope\b
1808	factoid	What island did the U.S. gain after the Spanish American war?	\bCuba\b|\bGuam\b|\bPuerto Rico\b
1439	factoid	How deep is Crater Lake?	\b1\s?,\s?932 feet\b|\b1,?949\s*f(ee|oo)?t\b|\b594\s*m\b|\b593 m\b|\b593\.0\b|\b594\.0552\b
1663	factoid	What are the people who make fireworks called?	\bPyrotechnists\b
1535	factoid	Who painted "Sunflowers"?	\bvan Gogh\b
10048	factoid	Who played Frodo in Lord of The Rings?	\bWood\b
10017	factoid	What is the capital of Laos?	\bVientiane\b
2364	factoid	How hot does it get in Death Valley?	\b134\b|\b56\.7\b|\b116\b|\b47\b|\b56\.6\°C\b
1550	factoid	What is the southwestern-most tip of England?	\bCornwall\b
1873	factoid	What is the motto for California?	\b.*Eureka.*\b
2067	factoid	How many Great Lakes are there?	\bfive\b
10028	factoid	What is the name of the second Beatles album?	\bSecond Album\b|\bIntroducing\.\.\. The Beatles\b
10002	factoid	How many bombs were detonated in 2005 in London?	\bfour\b|\b4\b
2248	factoid	How many planets are in our solar system?	\bnine\b|\b9\b|\beight\b|\b8\b
